state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
South Dakota,2016,651552,525029,865454,429531,435923,325959,325593,256451,268578,NA,NA,NA,500,3295,3795,NA,NA,NA
South Dakota,2015,648913,524081,858469,426408,432061,325543,323370,257109,266972,NA,NA,NA,439,3155,3594,NA,NA,NA
South Dakota,2014,643681,525862,853175,424313,428862,323473,320208,258844,267018,NA,NA,NA,449,3173,3622,NA,NA,NA
South Dakota,2013,638895,523869,844877,420653,424224,319557,319338,255492,268377,NA,NA,NA,422,3211,3633,NA,NA,NA
South Dakota,2012,629217,519632,833354,416505,416849,316424,312793,254924,264708,NA,NA,NA,435,3241,3676,NA,NA,NA
South Dakota,2011,621205,508329,824082,414507,409575,313945,307260,249760,258569,NA,NA,NA,417,3091,3508,NA,NA,NA
South Dakota,2010,612049,501697,816463,406414,410049,307589,304460,245205,256492,NA,NA,NA,403,3120,3523,NA,NA,NA
South Dakota,2009,612948,502267,812383,409608,402775,311579,301369,249197,253070,NA,NA,NA,403,3159,3562,NA,NA,NA
South Dakota,2008,602665,493981,804194,402611,401583,306294,296371,243857,250124,NA,NA,NA,384,3067,3451,NA,NA,NA
South Dakota,2007,601498,490590,796215,398157,398058,301612,299886,238556,252034,NA,NA,NA,402,3085,3487,NA,NA,NA
South Dakota,2006,585043,479096,781919,389405,392514,296720,288323,236171,242925,NA,NA,NA,402,3192,3594,NA,NA,NA
South Dakota,2005,564080,467484,755152,384762,370390,291960,272120,238173,229311,NA,NA,NA,346,3099,3445,NA,NA,NA
South Dakota,2004,552674,458347,741480,373419,368061,281365,271309,228198,230149,NA,NA,NA,313,2881,3194,NA,NA,NA
South Dakota,2003,542217,447807,735349,372323,363026,277228,264989,223587,224220,NA,NA,NA,NA,NA,NA,315,2894,3209
South Dakota,2002,538713,443797,731963,369837,362126,275483,263230,221707,222090,NA,NA,NA,240,2587,2827,NA,NA,NA
South Dakota,2001,543772,451518,727968,368508,359460,279087,264685,227121,224397,NA,NA,NA,230,2483,2713,NA,NA,NA
South Dakota,2000,521901,426235,718859,357941,360918,264775,257126,208796,217439,NA,NA,NA,202,2417,2619,NA,NA,NA
South Dakota,1999,519190.6,423432.4,716293.7,357518.3,358775.4,263954.4,255236.2,207923.6,215508.8,NA,NA,NA,210,2335,2545,NA,NA,NA
South Dakota,1998,516480.2,420629.8,713728.4,357095.6,356632.8,263133.8,253346.4,207051.2,213578.6,NA,NA,NA,NA,NA,2470,NA,NA,NA
South Dakota,1997,513769.8,417827.2,711163.1,356672.9,354490.2,262313.2,251456.6,206178.8,211648.4,NA,NA,2329,NA,NA,NA,NA,NA,NA
South Dakota,1996,511059.4,415024.6,708597.8,356250.2,352347.6,261492.6,249566.8,205306.4,209718.2,NA,NA,NA,NA,NA,1832,NA,NA,NA
South Dakota,1995,508349,412222,706032.5,355827.5,350205,260672,247677,204434,207788,NA,NA,NA,NA,NA,1565,NA,NA,NA
South Dakota,1994,505638.6,409419.4,703467.2,355404.8,348062.4,259851.4,245787.2,203561.6,205857.8,NA,NA,1477,NA,NA,1418,NA,NA,1477
South Dakota,1993,502928.2,406616.8,700901.9,354982.1,345919.8,259030.8,243897.4,202689.2,203927.6,NA,NA,1477,NA,NA,1418,NA,NA,1477
South Dakota,1992,500217.8,403814.2,698336.6,354559.4,343777.2,258210.2,242007.6,201816.8,201997.4,NA,NA,1189,NA,NA,1130,NA,NA,1189
South Dakota,1991,497507.4,401011.6,695771.3,354136.7,341634.6,257389.6,240117.8,200944.4,200067.2,NA,NA,1189,NA,NA,1130,NA,NA,1189
South Dakota,1990,494797,398209,693206,353714,339492,256569,238228,200072,198137,NA,NA,1189,NA,NA,1130,NA,NA,1189
South Dakota,1989,493769.3,398088.1,693203.4,353532.6,339670.8,255858.1,237911.2,199988.8,198099.3,NA,NA,560,NA,NA,695,NA,NA,560
South Dakota,1988,492741.6,397967.2,693200.8,353351.2,339849.6,255147.2,237594.4,199905.6,198061.6,NA,NA,1189,NA,NA,1090,NA,NA,1170
South Dakota,1987,491713.9,397846.3,693198.2,353169.8,340028.4,254436.3,237277.6,199822.4,198023.9,NA,NA,1189,NA,NA,1090,NA,NA,1189
South Dakota,1986,490686.2,397725.4,693195.6,352988.4,340207.2,253725.4,236960.8,199739.2,197986.2,NA,NA,1189,NA,NA,1090,NA,NA,1189
South Dakota,1985,489658.5,397604.5,693193,352807,340386,253014.5,236644,199656,197948.5,NA,NA,1189,NA,NA,1090,NA,NA,1189
South Dakota,1984,488630.8,397483.6,693190.4,352625.6,340564.8,252303.6,236327.2,199572.8,197910.8,NA,NA,636,NA,NA,894,NA,NA,996
South Dakota,1983,487603.1,397362.7,693187.8,352444.2,340743.6,251592.7,236010.4,199489.6,197873.1,NA,NA,636,NA,NA,894,NA,NA,996
