state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
Hawaii,2016,1121758,896686,1428557,709046,719511,561907,559851,436865,459821,NA,3527,NA,NA,3777,NA,NA,NA,NA
Hawaii,2015,1119532,900769,1431603,709902,721701,554442,565090,433594,467175,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,2014,1112169,902764,1419561,703657,715904,553477,558692,433942,468822,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,2013,1097385,893685,1404054,694578,709476,546085,551300,432692,460993,NA,2291,NA,NA,3327,NA,NA,NA,NA
Hawaii,2012,1090738,895103,1392313,687795,704518,543414,547324,434717,460386,NA,2291,NA,NA,3327,NA,NA,NA,NA
Hawaii,2011,1070445,881517,1374810,687674,687136,538404,532041,432737,448780,NA,2291,NA,NA,3327,NA,NA,NA,NA
Hawaii,2010,1061148,877239,1363621,680003,683618,533142,528006,430732,446507,NA,2291,NA,NA,3327,NA,NA,NA,NA
Hawaii,2009,1007001,831136,1295178,637932,657246,500861,506140,399645,431491,NA,2291,NA,NA,3327,NA,NA,NA,NA
Hawaii,2008,1002360,824737,1288198,638663,649535,500434,501926,399032,425705,NA,2451,NA,NA,3487,NA,NA,NA,NA
Hawaii,2007,1003521,833325,1283388,637636,645752,502493,501028,406056,427269,NA,2451,NA,NA,3487,NA,NA,NA,NA
Hawaii,2006,986139,816614,1285498,641788,643710,499935,486204,402829,413785,NA,2451,NA,NA,3487,NA,NA,NA,NA
Hawaii,2005,948756,785155,1258528,639622,618906,490860,457896,394120,391035,NA,2451,NA,NA,3487,NA,NA,NA,NA
Hawaii,2004,930178,767908,1227008,620276,606732,477513,452665,382957,384951,NA,2451,NA,NA,3487,NA,NA,NA,NA
Hawaii,2003,926971,772541,1221885,614713,607172,471135,455836,384857,387684,NA,2451,NA,NA,3487,NA,NA,NA,NA
Hawaii,2002,915388,762887,1208537,609679,598858,466965,448423,381232,381655,NA,NA,NA,NA,3406,NA,NA,NA,NA
Hawaii,2001,886445,737459,1188615,597621,590994,450505,435940,367137,370322,NA,2481,NA,NA,3406,NA,NA,NA,NA
Hawaii,2000,890920,746577,1198101,590966,607135,449071,441849,369583,376994,NA,2481,NA,NA,3406,NA,NA,NA,NA
Hawaii,1999,884337,742969.3,1188757.7,585938,602819.7,444861.6,439475.4,367317.3,375652,NA,2481,NA,NA,3406,NA,NA,NA,NA
Hawaii,1998,877754,739361.6,1179414.4,580910,598504.4,440652.2,437101.8,365051.6,374310,NA,NA,2197,NA,NA,3122,NA,NA,NA
Hawaii,1997,871171,735753.9,1170071.1,575882,594189.1,436442.8,434728.2,362785.9,372968,NA,NA,1991,NA,NA,2912,NA,NA,NA
Hawaii,1996,864588,732146.2,1160727.8,570854,589873.8,432233.4,432354.6,360520.2,371626,NA,NA,1754,NA,NA,2650,NA,NA,NA
Hawaii,1995,858005,728538.5,1151384.5,565826,585558.5,428024,429981,358254.5,370284,NA,NA,1750,NA,NA,2646,NA,NA,NA
Hawaii,1994,851422,724930.8,1142041.2,560798,581243.2,423814.6,427607.4,355988.8,368942,NA,NA,1694,NA,NA,2608,NA,NA,NA
Hawaii,1993,844839,721323.1,1132697.9,555770,576927.9,419605.2,425233.8,353723.1,367600,NA,NA,1672,NA,NA,2627,NA,NA,NA
Hawaii,1992,838256,717715.4,1123354.6,550742,572612.6,415395.8,422860.2,351457.4,366258,NA,NA,1566,NA,NA,2382,NA,NA,NA
Hawaii,1991,831673,714107.7,1114011.3,545714,568297.3,411186.4,420486.6,349191.7,364916,NA,NA,1658,NA,NA,2569,NA,NA,NA
Hawaii,1990,825090,710500,1104668,540686,563982,406977,418113,346926,363574,NA,NA,1577,NA,NA,2141,NA,NA,NA
Hawaii,1989,811481,701238,1091147.2,534091.4,557055.8,399939.3,411541.7,342335.4,358902.6,NA,NA,1577,NA,NA,2141,NA,NA,NA
Hawaii,1988,797872,691976,1077626.4,527496.8,550129.6,392901.6,404970.4,337744.8,354231.2,NA,NA,1691,NA,NA,2130,NA,NA,NA
Hawaii,1987,784263,682714,1064105.6,520902.2,543203.4,385863.9,398399.1,333154.2,349559.8,NA,NA,1670,NA,NA,NA,NA,NA,1670
Hawaii,1986,770654,673452,1050584.8,514307.6,536277.2,378826.2,391827.8,328563.6,344888.4,NA,NA,1252,NA,NA,NA,NA,NA,1252
Hawaii,1985,757045,664190,1037064,507713,529351,371788.5,385256.5,323973,340217,NA,NA,1162,NA,NA,1125,NA,NA,NA
Hawaii,1984,743436,654928,1023543.2,501118.4,522424.8,364750.8,378685.2,319382.4,335545.6,NA,NA,992,NA,NA,1444,NA,NA,NA
Hawaii,1983,729827,645666,1010022.4,494523.8,515498.6,357713.1,372113.9,314791.8,330874.2,NA,NA,940,NA,NA,1388,NA,NA,NA
