agency,year,state,population,ORI,offenses_burg_resident_day,offenses_burg_resident_night,offenses_burg_resident_unk,offenses_burg_nonresident_day,offenses_burg_nonresident_night,offenses_burg_nonresident_unk,offenses_burg_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_misc,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_pick_pocket,offenses_theft_purse_snatch,offenses_theft_shoplift,offenses_theft_all_other,auto_stolen_recover_local,auto_stolen_recovered_other,auto_theft_total,auto_stole_oth_recover_local,value_burg_resident_night,value_burg_resident_day,value_burg_resident_unk,value_burg_nonresident_night,value_burg_nonresident_day,value_burg_nonresident_unk,value_burg_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_misc,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_pick_pocket,value_theft_purse_snatch,value_theft_shoplift,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewel_metal,value_stolen_livestock,value_stolen_local_mtr_veh,value_stolen_misc,value_stolen_office_equip,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_house_good,value_recovered_jewel_metal,value_recovered_livestock,value_recovered_local_mtv_veh,value_recovered_misc,value_recovered_office_equip,value_recovered_tv_and_radio,value_recovered_total
Iron River Police Department,2017-01-01,Michigan,2838,MI36493,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,36,36,0,0,0,0,1,0,0,35,0,0,36,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
Iron River Police Department,2017-02-01,Michigan,2838,MI36493,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Iron River Police Department,2017-03-01,Michigan,2838,MI36493,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1
Iron River Police Department,2017-04-01,Michigan,2838,MI36493,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,124,5696,5841,5841,0,124,0,0,0,0,0,2726,2991,0,0,1477,0,0,2726,0,0,1493,0,145,5841,0,0,0,0,0,0,0,0,124,0,0,124
Iron River Police Department,2017-05-01,Michigan,2838,MI36493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,124,746,873,873,0,124,0,1,747,0,0,0,0,0,0,1,0,0,0,0,0,124,746,1,873,0,0,0,0,0,0,0,0,124,0,0,124
Iron River Police Department,2017-06-01,Michigan,2838,MI36493,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,6,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,373,379,380,0,0,0,2,0,0,0,0,377,1,2,0,0,0,0,0,0,375,1,0,380,0,0,0,0,0,0,0,0,0,0,0,0
Iron River Police Department,2017-07-01,Michigan,2838,MI36493,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5,0,0,0,0,0,0,0,0,4,1,0,0,0,1,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Iron River Police Department,2017-08-01,Michigan,2838,MI36493,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,1,11,0,0,0,0,1,0,0,1,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,51,0,16466,16517,16518,0,0,0,0,4,0,0,7,16506,1,39,2,0,16466,0,0,0,7,1,1,16518,0,5,0,0,0,0,0,0,0,0,0,5
Iron River Police Department,2017-09-01,Michigan,2838,MI36493,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,10,0,0,0,9,0,0,0,0,0,1,0,1,2,0,0,0,0,1,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0
Iron River Police Department,2017-10-01,Michigan,2838,MI36493,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,1,5,0,0,0,2,2,1,0,0,0,0,0,0,0,469,0,0,0,1,0,470,0,0,0,0,0,0,0,0,0,0,0,5,122,939,1065,1535,0,0,0,941,123,1,0,0,0,0,109,2,901,1,0,0,0,520,1,0,1535,0,0,0,0,0,0,0,0,0,0,0,0
