agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_theft_under50_dollar,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_theft_under50_dollar,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_theft_under50_dollar,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
Aurora Police Dept,2023,Nebraska,4640,NB04101,0,0,0,1,0,5,5,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,18,6,6,0,0,48,0,0,6,24,30,1,0,5,5,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,2,0,0,0,0,19,0,0,6,2,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurora Police Dept,2022,Nebraska,4631,NB04101,0,0,0,0,0,3,3,0,0,0,0,0,0,21,0,0,2,0,19,4,3,1,0,18,3,3,0,0,49,0,2,5,25,30,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,6,1,0,1,0,1,0,0,0,0,9,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurora Police Dept,2021,Nebraska,4491,NB04101,0,0,0,0,0,1,1,0,0,0,0,0,0,24,1,1,3,0,19,2,1,1,0,15,0,0,0,0,42,0,5,6,17,23,0,0,1,1,0,0,0,0,0,0,18,1,1,3,0,13,0,0,0,0,1,0,0,0,0,20,0,5,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurora Police Dept,2020,Nebraska,4554,NB04101,0,0,0,0,0,1,1,0,0,0,0,0,0,26,0,0,0,0,26,2,2,0,0,24,6,6,0,0,59,0,0,1,32,33,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,1,0,0,0,0,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurora Police Dept,2019,Nebraska,4539,NB04101,0,0,0,0,0,1,1,0,0,0,0,0,0,20,0,0,2,1,17,3,2,1,0,24,1,1,0,0,49,0,3,4,28,32,0,0,1,1,0,0,0,0,0,0,11,0,0,2,1,8,0,0,0,0,6,0,0,0,0,18,0,3,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurora Police Dept,2018,Nebraska,4488,NB04101,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,15,8,3,5,0,27,2,2,0,0,53,0,1,1,37,38,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,1,1,0,0,3,0,0,0,0,8,0,1,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurora Police Dept,2017,Nebraska,4484,NB04101,0,0,0,0,0,3,3,0,0,0,0,0,0,37,0,0,3,7,27,9,0,9,0,38,4,4,0,0,91,0,10,13,51,64,0,0,1,1,0,0,0,0,0,0,12,0,0,2,5,5,1,0,1,0,4,0,0,0,0,18,0,7,8,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurora Police Dept,2016,Nebraska,4499,NB04101,0,0,0,0,0,2,2,0,0,0,0,0,0,35,0,1,1,12,21,7,1,6,0,29,5,4,0,1,78,0,14,16,41,57,0,0,1,1,0,0,0,0,0,0,13,0,1,0,9,3,1,0,1,0,2,0,0,0,0,17,0,10,11,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurora Police Dept,2015,Nebraska,4468,NB04101,0,0,0,0,0,2,2,0,0,0,0,0,0,31,0,1,1,8,21,9,0,9,0,24,2,2,0,0,68,0,10,12,35,47,0,0,1,1,0,0,0,0,0,0,13,0,1,1,5,6,0,0,0,0,0,0,0,0,0,14,0,7,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurora Police Dept,2014,Nebraska,4460,NB04101,0,0,0,0,0,2,2,0,0,0,0,0,0,20,0,0,1,5,14,13,0,13,0,23,2,2,0,0,60,0,6,8,38,46,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,2,0,2,0,1,0,0,0,0,7,0,2,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
