agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
East Bay Regional Parks District Dept of Public Sa,2017,California,0,CA00114,0,0,3,0,0,6,6,0,16,5,2,4,5,53,0,1,12,7,33,53,46,6,1,277,13,10,2,1,418,20,0,0,1,1,0,0,0,0,0,0,13,0,0,6,1,6,0,0,0,0,1,1,1,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
East Bay Regional Parks District Dept of Public Sa,2016,California,0,CA00114,0,0,0,0,0,3,3,0,1,1,0,0,0,25,1,0,8,0,16,0,0,0,0,103,7,7,0,0,139,9,0,0,1,1,0,1,1,0,0,0,11,2,0,3,0,6,0,0,0,0,1,3,3,0,0,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Bay Regional Parks District Dept of Public Sa,2015,California,0,CA00114,0,0,0,2,0,3,2,1,2,1,0,0,1,13,0,0,2,0,11,0,0,0,0,188,7,7,0,0,215,2,2,0,1,1,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,4,3,3,0,0,15,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Bay Regional Parks District Dept of Public Sa,2014,California,0,CA00114,0,0,0,3,0,0,0,0,3,0,0,1,2,14,0,0,2,0,12,0,0,0,0,96,6,6,0,0,122,2,1,0,0,0,0,0,0,0,0,0,8,0,0,3,0,5,0,0,0,0,4,1,1,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Bay Regional Parks District Dept of Public Sa,2013,California,0,CA00114,0,0,0,0,0,0,0,0,2,1,0,1,0,14,0,0,0,0,14,3,3,0,0,129,10,10,0,0,158,0,0,0,0,0,0,2,0,0,2,0,8,0,0,0,0,8,0,0,0,0,7,4,4,0,0,21,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Bay Regional Parks District Dept of Public Sa,2012,California,0,CA00114,0,0,1,0,0,4,4,0,1,0,0,1,0,8,0,0,2,0,6,0,0,0,0,121,7,7,0,0,141,2,0,0,0,0,0,1,0,0,1,0,3,0,0,1,0,2,0,0,0,0,2,1,1,0,0,7,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Bay Regional Parks District Dept of Public Sa,2011,California,0,CA00114,0,0,0,1,0,0,0,0,1,0,1,0,0,12,0,0,1,1,10,3,3,0,0,79,2,2,0,0,98,2,0,0,0,0,0,1,0,1,0,0,7,0,0,1,1,5,0,0,0,0,3,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Bay Regional Parks District Dept of Public Sa,2010,California,0,CA00114,0,0,0,0,0,1,1,0,2,1,0,1,0,18,1,0,1,1,15,0,0,0,0,147,4,3,0,1,172,3,0,0,1,1,0,1,1,0,0,0,6,0,0,0,1,5,0,0,0,0,7,1,0,0,1,16,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Bay Regional Parks District Dept of Public Sa,2009,California,0,CA00114,0,0,0,0,0,1,1,0,0,0,0,0,0,13,0,0,1,0,12,3,2,1,0,206,8,8,0,0,231,1,0,0,1,1,0,0,0,0,0,0,5,0,0,1,0,4,1,0,1,0,2,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Bay Regional Parks District Dept of Public Sa,2008,California,0,CA00114,0,0,0,1,0,2,2,0,2,0,0,1,1,16,0,0,0,0,16,4,3,1,0,106,4,4,0,0,135,0,0,0,2,2,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
