year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,3943116,6262,469,294,974,4525,49253,15461,27979,5813,Georgia,Georgia State-Level Estimate,,55515
1961,3987000,6269,400,380,1129,4360,53445,17439,29746,6260,Georgia,Georgia State-Level Estimate,,59714
1962,4100000,6200,422,439,1301,4038,57160,18872,30436,7852,Georgia,Georgia State-Level Estimate,,63360
1963,4140000,7019,390,396,1410,4823,62841,19400,34843,8598,Georgia,Georgia State-Level Estimate,,69860
1964,4294000,8285,503,529,1445,5808,70609,22706,37954,9949,Georgia,Georgia State-Level Estimate,,78894
1965,4357000,8777,491,586,1297,6403,68094,21236,38428,8430,Georgia,Georgia State-Level Estimate,,76871
1966,4459000,9066,504,650,1555,6357,74754,24580,42070,8104,Georgia,Georgia State-Level Estimate,,83820
1967,4509000,8536,501,561,1682,5792,79581,26667,43900,9014,Georgia,Georgia State-Level Estimate,,88117
1968,4588000,9903,636,619,2181,6467,89021,30317,47858,10846,Georgia,Georgia State-Level Estimate,,98924
1969,4641000,11235,551,794,2895,6995,100124,32555,54897,12672,Georgia,Georgia State-Level Estimate,,111359
1970,4589575,13976,702,740,4395,8139,118277,41301,62812,14164,Georgia,Georgia State-Level Estimate,,132253
1971,4664000,15898,745,1004,4858,9291,126254,49003,63173,14078,Georgia,Georgia State-Level Estimate,,142152
1972,4720000,17823,871,984,6340,9628,126222,51056,60689,14477,Georgia,Georgia State-Level Estimate,,144045
1973,4786000,19738,834,1236,7565,10103,144437,60726,66558,17153,Georgia,Georgia State-Level Estimate,,164175
1974,4882000,21587,868,1323,8617,10779,169417,71394,81078,16945,Georgia,Georgia State-Level Estimate,,191004
1975,4926000,22608,711,1251,8204,12442,205266,77867,110762,16637,Georgia,Georgia State-Level Estimate,,227874
1976,4970000,21030,692,1240,7076,12022,218002,71984,130130,15888,Georgia,Georgia State-Level Estimate,,239032
1977,5048000,22203,593,1570,7094,12946,192795,68205,109554,15036,Georgia,Georgia State-Level Estimate,,214998
1978,5084000,24545,731,1928,8454,13432,218028,75022,124880,18126,Georgia,Georgia State-Level Estimate,,242573
1979,5118000,28594,877,2216,10939,14562,248641,81579,145758,21304,Georgia,Georgia State-Level Estimate,,277235
1980,5400851,29993,743,2391,10670,16189,272652,91773,160764,20115,Georgia,Georgia State-Level Estimate,,302645
1981,5569000,30527,960,2362,10938,16267,282926,93121,171170,18635,Georgia,Georgia State-Level Estimate,,313453
1982,5639000,26963,713,2242,8716,15292,267097,84469,165049,17579,Georgia,Georgia State-Level Estimate,,294060
1983,5732000,26179,483,2021,8267,15408,232062,72614,143398,16050,Georgia,Georgia State-Level Estimate,,258241
1984,5837000,27935,546,2356,8414,16619,234621,70310,147251,17060,Georgia,Georgia State-Level Estimate,,262556
1985,5976000,30311,620,2587,9812,17292,275070,81070,171950,22050,Georgia,Georgia State-Level Estimate,,305381
1986,6104000,35869,686,2678,13056,19449,297130,88695,182171,26264,Georgia,Georgia State-Level Estimate,,332999
1987,6222000,35868,735,2681,13014,19438,324511,96572,197302,30637,Georgia,Georgia State-Level Estimate,,360379
1988,6401000,42589,748,2970,15593,23278,362376,103106,223768,35502,Georgia,Georgia State-Level Estimate,,404965
1989,6436000,47357,820,3150,17450,25937,407868,110215,255578,42075,Georgia,Georgia State-Level Estimate,,455225
1990,6478216,48996,767,3472,17067,27690,389165,104905,240623,43637,Georgia,Georgia State-Level Estimate,,438161
1991,6623000,48894,849,2800,17762,27483,381165,100317,240359,40489,Georgia,Georgia State-Level Estimate,,430059
1992,6751000,49496,741,3057,16863,28835,382934,97402,246619,38913,Georgia,Georgia State-Level Estimate,,432430
1993,6917000,50019,789,2448,17154,29628,378348,90423,246849,41076,Georgia,Georgia State-Level Estimate,,428367
1994,7055000,47103,703,2448,15703,28249,376926,81406,256208,39312,Georgia,Georgia State-Level Estimate,,424029
1995,7201000,47317,683,2539,14777,29318,385005,76324,264872,43809,Georgia,Georgia State-Level Estimate,,432322
1996,7353000,46966,630,2357,15100,28879,416986,81968,288803,46215,Georgia,Georgia State-Level Estimate,,463952
1997,7486000,45408,563,2328,15473,27044,388155,81320,262263,44572,Georgia,Georgia State-Level Estimate,,433563
1998,7642000,43762,618,2322,14308,26514,373717,75720,255459,42538,Georgia,Georgia State-Level Estimate,,417479
1999,7788240,41585,583,2319,12962,25721,359383,71429,247834,40120,Georgia,Georgia State-Level Estimate,,400968
2000,8186453,41319,651,1968,13250,25450,347630,68488,240440,38702,Georgia,Georgia State-Level Estimate,,388949
2001,8405677,41671,598,2180,14402,24491,347872,71799,238484,37589,Georgia,Georgia State-Level Estimate,,389543
2002,8544005,39271,606,2108,13432,23125,346559,73932,234591,38036,Georgia,Georgia State-Level Estimate,,385830
2003,8676460,39435,657,2234,14043,22501,369589,79001,247196,43392,Georgia,Georgia State-Level Estimate,,409024
2004,8918129,40217,613,2387,13656,23561,376656,82992,249426,44238,Georgia,Georgia State-Level Estimate,,416873
2005,9132553,40725,564,2143,14041,23977,378534,84463,249594,44477,Georgia,Georgia State-Level Estimate,,419259
2006,9363941,44754,605,2169,15511,26469,362712,85140,234445,43127,Georgia,Georgia State-Level Estimate,,407466
2007,9544750,46917,720,2198,17291,26708,371248,90294,238436,42518,Georgia,Georgia State-Level Estimate,,418165
2008,9685744,47353,640,2334,17808,26571,387917,100564,247709,39644,Georgia,Georgia State-Level Estimate,,435270
2009,9829211,42073,566,2323,14631,24553,360985,98606,229216,33163,Georgia,Georgia State-Level Estimate,,403058
2010,9712157,39068,555,2107,12372,24034,353449,96947,226161,30341,Georgia,Georgia State-Level Estimate,,392517
2011,9812460,36762,549,2066,12266,21881,357235,96014,231543,29678,Georgia,Georgia State-Level Estimate,,393997
2012,9915646,37675,583,2143,12502,22447,339473,86992,223875,28606,Georgia,Georgia State-Level Estimate,,377148
2013,9994759,37519,563,2891,12704,21361,339808,83459,229190,27159,Georgia,Georgia State-Level Estimate,,377327
2014,10097343,38097,580,3048,12417,22052,331316,76428,228034,26854,Georgia,Georgia State-Level Estimate,,369413
