agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,total_cleared_murder,total_cleared_manslaughter,total_cleared_rape_total,total_cleared_rape_by_force,total_cleared_rape_attempted,total_cleared_robbery_total,total_cleared_robbery_with_a_gun,total_cleared_robbery_with_a_knife,total_cleared_robbery_other_weapon,total_cleared_robbery_unarmed,total_cleared_assault_total,total_cleared_assault_with_a_gun,total_cleared_assault_with_a_knife,total_cleared_assault_other_weapon,total_cleared_assault_unarmed,total_cleared_assault_simple,total_cleared_burglary_total,total_cleared_burglary_force_entry,total_cleared_burglary_nonforce_entry,total_cleared_burglary_attempted,total_cleared_theft_total,total_cleared_motor_vehicle_theft_total,total_cleared_motor_vehicle_theft_car,total_cleared_motor_vehicle_theft_truck,total_cleared_motor_vehicle_theft_other,total_cleared_all_crimes,total_cleared_theft_under50_dollar,total_cleared_assault_aggravated,total_cleared_index_violent,total_cleared_index_property,total_cleared_index_total,cleared_18_murder,cleared_18_manslaughter,cleared_18_rape_total,cleared_18_rape_by_force,cleared_18_rape_attempted,cleared_18_robbery_total,cleared_18_robbery_with_a_gun,cleared_18_robbery_with_a_knife,cleared_18_robbery_other_weapon,cleared_18_robbery_unarmed,cleared_18_assault_total,cleared_18_assault_with_a_gun,cleared_18_assault_with_a_knife,cleared_18_assault_other_weapon,cleared_18_assault_unarmed,cleared_18_assault_simple,cleared_18_burglary_total,cleared_18_burglary_force_entry,cleared_18_burglary_nonforce_entry,cleared_18_burglary_attempted,cleared_18_theft_total,cleared_18_motor_vehicle_theft_total,cleared_18_motor_vehicle_theft_car,cleared_18_motor_vehicle_theft_truck,cleared_18_motor_vehicle_theft_other,cleared_18_all_crimes,cleared_18_theft_under50_dollar,cleared_18_assault_aggravated,cleared_18_index_violent,cleared_18_index_property,cleared_18_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Williamsburg Police Department,2023,Iowa,3349,IA04803,0,0,0,0,0,3,3,0,0,0,0,0,0,31,1,0,4,3,23,2,0,2,0,23,2,1,0,1,61,0,8,11,27,38,0,0,0,0,0,0,0,0,0,0,16,1,0,3,3,9,0,0,0,0,1,0,0,0,0,17,0,7,7,1,8,0,0,0,0,0,0,0,0,0,0,10,0,0,3,1,6,0,0,0,0,0,0,0,0,0,10,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Williamsburg Police Department,2022,Iowa,3362,IA04803,0,0,0,0,0,4,4,0,1,0,0,1,0,34,0,0,2,3,29,3,0,2,1,21,0,0,0,0,63,0,5,10,24,34,0,0,2,2,0,0,0,0,0,0,12,0,0,0,2,10,0,0,0,0,1,0,0,0,0,15,0,2,4,1,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,1,0,0,0,0,5,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Williamsburg Police Department,2021,Iowa,3191,IA04803,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,4,2,0,2,0,9,1,1,0,0,18,0,2,2,12,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Williamsburg Police Department,2020,Iowa,3175,IA04803,0,0,0,0,0,1,1,0,0,0,0,0,0,9,0,0,0,3,6,2,0,2,0,7,1,1,0,0,20,0,3,4,10,14,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,6,0,0,0,0,0,1,1,0,0,8,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Williamsburg Police Department,2019,Iowa,3159,IA04803,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,6,8,1,7,0,17,0,0,0,0,35,0,4,4,25,29,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,5,4,0,4,0,3,0,0,0,0,15,0,3,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Williamsburg Police Department,2018,Iowa,3149,IA04803,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,2,4,0,4,0,15,1,1,0,0,24,0,2,2,20,22,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,2,0,0,0,0,3,0,0,0,0,7,0,2,2,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Williamsburg Police Department,2017,Iowa,3197,IA04803,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,1,0,2,4,9,7,2,0,9,3,3,0,0,29,0,3,4,21,25,1,0,0,0,0,0,0,0,0,0,5,0,1,0,2,2,0,0,0,0,3,0,0,0,0,9,0,3,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Williamsburg Police Department,2016,Iowa,3221,IA04803,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,5,3,2,1,0,18,2,2,0,0,29,0,1,1,23,24,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,1,1,0,0,5,0,0,0,0,10,0,1,1,6,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Williamsburg Police Department,2015,Iowa,3203,IA04803,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,2,1,1,0,21,2,2,0,0,29,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,1,1,0,0,12,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Williamsburg Police Department,2014,Iowa,3146,IA04803,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,2,1,1,0,18,1,1,0,0,26,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,8,1,1,0,0,14,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
