agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,total_cleared_murder,total_cleared_manslaughter,total_cleared_rape_total,total_cleared_rape_by_force,total_cleared_rape_attempted,total_cleared_robbery_total,total_cleared_robbery_with_a_gun,total_cleared_robbery_with_a_knife,total_cleared_robbery_other_weapon,total_cleared_robbery_unarmed,total_cleared_assault_total,total_cleared_assault_with_a_gun,total_cleared_assault_with_a_knife,total_cleared_assault_other_weapon,total_cleared_assault_unarmed,total_cleared_assault_simple,total_cleared_burglary_total,total_cleared_burglary_force_entry,total_cleared_burglary_nonforce_entry,total_cleared_burglary_attempted,total_cleared_theft_total,total_cleared_motor_vehicle_theft_total,total_cleared_motor_vehicle_theft_car,total_cleared_motor_vehicle_theft_truck,total_cleared_motor_vehicle_theft_other,total_cleared_all_crimes,total_cleared_theft_under50_dollar,total_cleared_assault_aggravated,total_cleared_index_violent,total_cleared_index_property,total_cleared_index_total,cleared_18_murder,cleared_18_manslaughter,cleared_18_rape_total,cleared_18_rape_by_force,cleared_18_rape_attempted,cleared_18_robbery_total,cleared_18_robbery_with_a_gun,cleared_18_robbery_with_a_knife,cleared_18_robbery_other_weapon,cleared_18_robbery_unarmed,cleared_18_assault_total,cleared_18_assault_with_a_gun,cleared_18_assault_with_a_knife,cleared_18_assault_other_weapon,cleared_18_assault_unarmed,cleared_18_assault_simple,cleared_18_burglary_total,cleared_18_burglary_force_entry,cleared_18_burglary_nonforce_entry,cleared_18_burglary_attempted,cleared_18_theft_total,cleared_18_motor_vehicle_theft_total,cleared_18_motor_vehicle_theft_car,cleared_18_motor_vehicle_theft_truck,cleared_18_motor_vehicle_theft_other,cleared_18_all_crimes,cleared_18_theft_under50_dollar,cleared_18_assault_aggravated,cleared_18_index_violent,cleared_18_index_property,cleared_18_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Sparta Police Department,2023,Missouri,1968,MO02205,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,5,0,1,16,0,0,0,0,13,0,0,0,0,35,0,6,6,13,19,0,0,0,0,0,0,0,0,0,0,18,0,5,0,0,13,0,0,0,0,1,0,0,0,0,19,0,5,5,1,6,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,7,0,0,0,0,0,0,0,0,0,12,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sparta Police Department,2022,Missouri,1965,MO02205,0,0,0,0,0,1,1,0,0,0,0,0,0,19,1,3,2,0,13,0,0,0,0,11,2,0,2,0,33,0,6,7,13,20,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,8,0,0,0,0,2,0,0,0,0,12,0,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sparta Police Department,2021,Missouri,2101,MO02205,0,0,0,0,0,1,1,0,0,0,0,0,0,15,1,0,1,1,12,3,1,2,0,10,1,0,1,0,30,0,3,4,14,18,0,0,0,0,0,0,0,0,0,0,9,1,0,0,1,7,0,0,0,0,1,0,0,0,0,10,0,2,2,1,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sparta Police Department,2020,Missouri,1968,MO02205,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,3,2,1,1,0,18,0,0,0,0,25,0,2,2,20,22,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,1,0,1,0,6,0,0,0,0,10,0,1,1,7,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sparta Police Department,2019,Missouri,1937,MO02205,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,9,5,1,4,0,11,2,1,1,0,28,0,1,1,18,19,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,1,0,1,0,4,1,1,0,0,13,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Sparta Police Department,2018,Missouri,1907,MO02205,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,1,0,12,4,3,1,0,9,0,0,0,0,27,0,2,2,13,15,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,5,1,1,0,0,1,0,0,0,0,9,0,2,2,2,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
Sparta Police Department,2017,Missouri,1883,MO02205,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,8,8,4,4,0,22,4,2,0,2,44,0,2,2,34,36,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,6,1,1,0,0,6,2,1,0,1,17,0,2,2,9,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1
Sparta Police Department,2016,Missouri,1798,MO02205,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0,2,8,3,3,0,0,19,3,1,1,1,36,0,2,3,25,28,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,4,0,0,0,0,3,1,1,0,0,9,0,1,1,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3,0,0,0,0,2,1,1,0,0,7,0,1,1,3,4
Sparta Police Department,2015,Missouri,,MO02205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparta Police Department,2014,Missouri,1785,MO02205,0,0,1,0,0,0,0,0,1,0,1,0,0,10,0,0,2,0,8,6,3,1,2,17,3,1,0,2,37,0,2,3,26,29,0,0,0,0,0,1,0,1,0,0,7,0,0,2,0,5,0,0,0,0,5,1,1,0,0,14,0,2,3,6,9,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,1,0,0,0,0,2,0,0,0,0,5,0,1,2,2,4,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,2,1,3
