agency,year,state,population,ORI,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_strong_arm,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_strong_arm,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_strong_arm,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_strong_arm,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
Penn State University - Altoona Police,2017,Pennsylvania,0,PA00714,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,7,5,0,5,0,22,1,1,0,0,36,0,0,0,2,2,0,0,0,0,0,0,4,0,0,0,0,4,3,0,3,0,10,1,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
Penn State University - Altoona Police,2016,Pennsylvania,0,PA00714,0,0,4,4,0,0,0,0,0,0,25,0,0,0,1,24,0,0,0,0,28,1,1,0,0,58,1,0,0,3,3,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,23,1,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penn State University - Altoona Police,2015,Pennsylvania,0,PA00714,0,0,2,0,2,0,0,0,0,0,16,0,0,0,0,16,6,0,6,0,33,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,2,0,2,0,12,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,3,0,0,0,0,5,0
Penn State University - Altoona Police,2014,Pennsylvania,0,PA00714,0,0,1,1,0,0,0,0,0,0,14,0,0,0,1,13,13,0,13,0,33,0,0,0,0,61,1,0,0,1,1,0,0,0,0,0,0,12,0,0,0,0,12,4,0,4,0,8,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Penn State University - Altoona Police,2013,Pennsylvania,0,PA00714,0,0,1,1,0,0,0,0,0,0,12,0,0,0,1,11,14,0,14,0,33,0,0,0,0,60,1,0,0,1,1,0,0,0,0,0,0,13,0,0,0,1,12,5,0,5,0,15,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Penn State University - Altoona Police,2012,Pennsylvania,0,PA00714,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,6,7,0,7,0,33,0,0,0,0,47,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,4,0,0,0,0,14,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
Penn State University - Altoona Police,2011,Pennsylvania,0,PA00714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,31,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
Penn State University - Altoona Police,2010,Pennsylvania,0,PA00714,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,2,5,0,5,0,33,0,0,0,0,42,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Penn State University - Altoona Police,2009,Pennsylvania,0,PA00714,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,1,0,1,0,31,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,1,0,1,0,8,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0
Penn State University - Altoona Police,2008,Pennsylvania,0,PA00714,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,4,3,0,3,0,32,0,0,0,0,41,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,7,5,0,5,0,13,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,4,0
