agency,year,state,population,ORI,act_all_crimes,clr_all_crimes,clr_18_all_crimes,unfound_all_crimes,act_aggravated_assault,tot_clr_aggravated_assault,clr_18_aggravated_assault,unfound_aggravated_assault,act_assault_total,tot_clr_assault_total,clr_18_assault_total,unfound_assault_total,act_gun_assault,tot_clr_gun_assault,clr_18_gun_assault,unfound_gun_assault,act_knife_assault,tot_clr_knife_assault,clr_18_knife_assault,unfound_knife_assault,act_other_weapon_assault,tot_clr_other_weapon_assault,clr_18_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,tot_clr_simple_assault,clr_18_simple_assault,unfound_simple_assault,act_hand_feet_assault,tot_clr_hand_feet_assault,clr_18_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,tot_clr_burglary_total,clr_18_burglary_total,unfound_burglary_total,act_attempted_burglary,tot_clr_attempted_burglary,clr_18_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,tot_clr_burg_force_entry,clr_18_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,tot_clr_burg_no_force_entry,clr_18_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,tot_clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,tot_clr_manslaughter,clr_18_manslaughter,unfound_manslaughter,act_murder,tot_clr_murder,clr_18_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,tot_clr_rape_total,clr_18_rape_total,unfound_rape_total,act_attempted_rape,tot_clr_attempted_rape,clr_18_attempted_rape,unfound_attempted_rape,act_force_rape,tot_clr_force_rape,clr_18_force_rape,unfound_force_rape,act_robbery_total,tot_clr_robbery_total,clr_18_robbery_total,unfound_robbery_total,act_gun_robbery,tot_clr_gun_robbery,clr_18_gun_robbery,unfound_gun_robbery,act_knife_robbery,tot_clr_knife_robbery,clr_18_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,tot_clr_other_weapon_robbery,clr_18_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,tot_clr_strong_arm_robbery,clr_18_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,tot_clr_theft_total,clr_18_theft_total,unfound_theft_total,act_auto_theft,tot_clr_auto_theft,clr_18_auto_theft,unfound_auto_theft,act_other_vhc_theft,tot_clr_other_vhc_theft,clr_18_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,tot_clr_truck_bus_theft,clr_18_truck_bus_theft,unfound_truck_bus_theft
Rich Hill Police Dept,2017,Missouri,1322,MO00704,42,17,2,1,4,2,0,0,10,7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,6,5,0,0,2,1,0,0,8,2,0,0,1,1,0,0,5,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,8,2,0,0,0,0,0,1,0,0,0,2,0,0,0
Rich Hill Police Dept,2016,Missouri,1325,MO00704,36,19,2,1,7,7,0,0,14,14,2,1,0,0,0,0,1,1,0,0,1,1,0,0,7,7,2,1,5,5,0,0,5,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rich Hill Police Dept,2015,Missouri,1336,MO00704,24,14,3,1,2,2,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,2,0,0,6,2,1,0,0,0,0,0,6,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,2,0,1,0,0,1,0,0,0,0,0,0,0,0
Rich Hill Police Dept,2014,Missouri,1334,MO00704,51,26,7,0,7,7,0,0,22,22,6,0,0,0,0,0,0,0,0,0,3,3,0,0,15,15,6,0,4,4,0,0,8,1,0,0,0,0,0,0,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rich Hill Police Dept,2013,Missouri,1351,MO00704,53,22,2,2,7,5,0,1,18,12,1,1,1,1,0,0,0,0,0,0,4,4,0,0,11,7,1,0,2,0,0,1,9,2,1,1,0,0,0,0,4,0,0,0,5,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,0,0,3,1,0,0,0,0,0,0,0,0,0,0
Rich Hill Police Dept,2012,Missouri,1396,MO00704,61,26,7,3,5,5,1,0,21,18,5,1,0,0,0,0,1,1,1,0,0,0,0,0,16,13,4,1,4,4,0,0,8,1,0,1,0,0,0,1,3,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Rich Hill Police Dept,2011,Missouri,1401,MO00704,36,17,9,1,4,4,2,0,15,13,7,0,0,0,0,0,1,1,1,0,0,0,0,0,11,9,5,0,3,3,1,0,8,2,1,1,1,0,0,0,4,1,1,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Rich Hill Police Dept,2010,Missouri,1396,MO00704,48,28,12,2,7,5,2,0,20,17,4,1,0,0,0,0,0,0,0,0,3,1,0,0,13,12,2,1,4,4,2,0,14,7,6,0,1,0,0,0,8,6,6,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0
Rich Hill Police Dept,2009,Missouri,1497,MO00704,45,25,7,3,0,0,0,0,11,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,11,11,4,1,0,0,0,0,9,4,2,1,0,0,0,0,7,3,1,0,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Rich Hill Police Dept,2008,Missouri,1496,MO00704,50,16,3,3,8,7,0,0,12,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,8,7,0,0,9,1,0,1,0,0,0,0,5,0,0,0,4,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,1,1,0,0,0,0,2,1,1,0,0,0,0,0
