agency,year,state,population,ORI,total_officers,female_employees_officers,male_employees_officers,total_civilians,female_employees_civilians,male_employees_civilians,officers_killed_accident,officers_killed_felony,assault_injury_total,assault_injury_gun,assault_injury_knife,assault_injury_hand_feet,assault_injury_other,assault_no_injury_total,assault_no_injury_gun,assault_no_injury_knife,assault_no_injury_hand_feet,assault_no_injury_other,total_assault_total,total_assault_gun,total_assault_knife,total_assault_hand_feet,total_assault_other,all_oth_total_assault,ambush_total_assault,att_oth_arrest_total_assault,burglary_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,deranged_total_assault,disturbance_total_assault,robbery_total_assault,susp_pers_total_assault,traffic_total_assault
St Park Ranger Woods/sandhillspreserv S Pines,2016,North Carolina,0,NC06310,2,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Park Ranger Woods/sandhillspreserv S Pines,2015,North Carolina,0,NC06310,3,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Park Ranger Woods/sandhillspreserv S Pines,2014,North Carolina,0,NC06310,3,2,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Park Ranger Woods/sandhillspreserv S Pines,2013,North Carolina,0,NC06310,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Park Ranger Woods/sandhillspreserv S Pines,2012,North Carolina,0,NC06310,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Park Ranger Woods/sandhillspreserv S Pines,2011,North Carolina,0,NC06310,3,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Park Ranger Woods/sandhillspreserv S Pines,2010,North Carolina,0,NC06310,2,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Park Ranger Woods/sandhillspreserv S Pines,2009,North Carolina,0,NC06310,2,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Park Ranger Woods/sandhillspreserv S Pines,2008,North Carolina,0,NC06310,3,1,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Park Ranger Woods/sandhillspreserv S Pines,2007,North Carolina,0,NC06310,3,1,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Park Ranger Woods/sandhillspreserv S Pines,2006,North Carolina,0,NC06310,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Park Ranger Woods/sandhillspreserv S Pines,2005,North Carolina,0,NC06310,2,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Park Ranger Woods/sandhillspreserv S Pines,2004,North Carolina,0,NC06310,2,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Park Ranger Woods/sandhillspreserv S Pines,2003,North Carolina,0,NC06310,3,1,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Park Ranger Woods/sandhillspreserv S Pines,2002,North Carolina,0,NC06310,3,1,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Park Ranger Woods/sandhillspreserv S Pines,2001,North Carolina,0,NC06310,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Park Ranger Woods/sandhillspreserv S Pines,2000,North Carolina,0,NC06310,3,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Park Ranger Woods/sandhillspreserv S Pines,1999,North Carolina,0,NC06310,3,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Park Ranger Woods/sandhillspreserv S Pines,1998,North Carolina,0,NC06310,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Park Ranger Woods/sandhillspreserv S Pines,1997,North Carolina,0,NC06310,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Park Ranger Woods/sandhillspreserv S Pines,1996,North Carolina,0,NC06310,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Park Ranger Woods/sandhillspreserv S Pines,1995,North Carolina,0,NC06310,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Park Ranger Woods/sandhillspreserv S Pines,1994,North Carolina,0,NC06310,2,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Park Ranger Woods/sandhillspreserv S Pines,1993,North Carolina,0,NC06310,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Park Ranger Woods/sandhillspreserv S Pines,1992,North Carolina,0,NC06310,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Park Ranger Woods/sandhillspreserv S Pines,1991,North Carolina,0,NC06310,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
