agency,year,state,population,ORI,total_officers,female_employees_officers,male_employees_officers,total_civilians,female_employees_civilians,male_employees_civilians,officers_killed_accident,officers_killed_felony,assault_injury_total,assault_injury_gun,assault_injury_knife,assault_injury_hand_feet,assault_injury_other,assault_no_injury_total,assault_no_injury_gun,assault_no_injury_knife,assault_no_injury_hand_feet,assault_no_injury_other,total_assault_total,total_assault_gun,total_assault_knife,total_assault_hand_feet,total_assault_other,all_oth_total_assault,ambush_total_assault,att_oth_arrest_total_assault,burglary_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,deranged_total_assault,disturbance_total_assault,robbery_total_assault,susp_pers_total_assault,traffic_total_assault
Lower Pottsgrove Township Police Department,2016,Pennsylvania,12194,PA04616,17,0,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Pottsgrove Township Police Department,2015,Pennsylvania,12222,PA04616,17,0,17,2,2,0,0,0,1,0,0,0,1,4,0,0,4,0,5,0,0,4,1,0,0,0,0,0,2,0,0,0,2,1
Lower Pottsgrove Township Police Department,2014,Pennsylvania,12189,PA04616,17,0,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Pottsgrove Township Police Department,2013,Pennsylvania,12156,PA04616,16,0,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Pottsgrove Township Police Department,2012,Pennsylvania,12151,PA04616,16,0,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Pottsgrove Township Police Department,2011,Pennsylvania,12097,PA04616,17,0,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Pottsgrove Township Police Department,2010,Pennsylvania,12059,PA04616,17,0,17,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Lower Pottsgrove Township Police Department,2009,Pennsylvania,12266,PA04616,16,1,15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Pottsgrove Township Police Department,2008,Pennsylvania,12210,PA04616,16,1,15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Pottsgrove Township Police Department,2007,Pennsylvania,12240,PA04616,16,1,15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
