agency,year,state,population,ORI,total_officers,female_employees_officers,male_employees_officers,total_civilians,female_employees_civilians,male_employees_civilians,officers_killed_accident,officers_killed_felony,assault_injury_total,assault_injury_gun,assault_injury_knife,assault_injury_hand_feet,assault_injury_other,assault_no_injury_total,assault_no_injury_gun,assault_no_injury_knife,assault_no_injury_hand_feet,assault_no_injury_other,total_assault_total,total_assault_gun,total_assault_knife,total_assault_hand_feet,total_assault_other,all_oth_total_assault,ambush_total_assault,att_oth_arrest_total_assault,burglary_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,deranged_total_assault,disturbance_total_assault,robbery_total_assault,susp_pers_total_assault,traffic_total_assault
State Police Oak Hill,2000,West Virginia,0,WVWSP31,11,0,11,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Police Oak Hill,2001,West Virginia,0,WVWSP31,8,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police Oak Hill,2002,West Virginia,0,WVWSP31,9,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police Oak Hill,2003,West Virginia,0,WVWSP31,10,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police Oak Hill,2004,West Virginia,0,WVWSP31,9,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police Oak Hill,2005,West Virginia,0,WVWSP31,9,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police Oak Hill,2006,West Virginia,0,WVWSP31,8,0,8,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Police Oak Hill,2007,West Virginia,0,WVWSP31,8,0,8,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Police Oak Hill,2009,West Virginia,0,WVWSP31,10,0,10,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
State Police Oak Hill,2010,West Virginia,0,WVWSP31,8,0,8,1,1,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1
State Police Oak Hill,2011,West Virginia,0,WVWSP31,7,0,7,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
State Police Oak Hill,2012,West Virginia,0,WVWSP31,10,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police Oak Hill,2013,West Virginia,0,WVWSP31,9,0,9,1,1,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1
State Police Oak Hill,2015,West Virginia,0,WVWSP31,8,1,7,1,1,0,0,0,1,0,0,1,0,2,0,0,2,0,3,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0
