agency,year,state,population,ORI,total_officers,female_employees_officers,male_employees_officers,total_civilians,female_employees_civilians,male_employees_civilians,officers_killed_accident,officers_killed_felony,assault_injury_total,assault_injury_gun,assault_injury_knife,assault_injury_hand_feet,assault_injury_other,assault_no_injury_total,assault_no_injury_gun,assault_no_injury_knife,assault_no_injury_hand_feet,assault_no_injury_other,total_assault_total,total_assault_gun,total_assault_knife,total_assault_hand_feet,total_assault_other,all_oth_total_assault,ambush_total_assault,att_oth_arrest_total_assault,burglary_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,deranged_total_assault,disturbance_total_assault,robbery_total_assault,susp_pers_total_assault,traffic_total_assault
Center Police Department,1978,Colorado,1548,CO05501,6,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center Police Department,1979,Colorado,1643,CO05501,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Center Police Department,1980,Colorado,1630,CO05501,6,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center Police Department,1981,Colorado,1678,CO05501,6,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center Police Department,1982,Colorado,1724,CO05501,6,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center Police Department,1983,Colorado,1777,CO05501,6,0,6,0,0,0,0,0,4,0,0,4,0,1,0,0,1,0,5,0,0,5,0,0,0,2,0,0,0,0,3,0,0,0
Center Police Department,1984,Colorado,1753,CO05501,5,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Center Police Department,1985,Colorado,1782,CO05501,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Center Police Department,1986,Colorado,1881,CO05501,6,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Center Police Department,1987,Colorado,1826,CO05501,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
