agency,year,state,population,ORI,total_officers,female_employees_officers,male_employees_officers,total_civilians,female_employees_civilians,male_employees_civilians,officers_killed_accident,officers_killed_felony,assault_injury_total,assault_injury_gun,assault_injury_knife,assault_injury_hand_feet,assault_injury_other,assault_no_injury_total,assault_no_injury_gun,assault_no_injury_knife,assault_no_injury_hand_feet,assault_no_injury_other,total_assault_total,total_assault_gun,total_assault_knife,total_assault_hand_feet,total_assault_other,all_oth_total_assault,ambush_total_assault,att_oth_arrest_total_assault,burglary_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,deranged_total_assault,disturbance_total_assault,robbery_total_assault,susp_pers_total_assault,traffic_total_assault
St Comm College East St Louis Pd East St Louis,1979,Illinois,0,IL08227,8,3,5,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Comm College East St Louis Pd East St Louis,1983,Illinois,0,IL08227,6,2,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Comm College East St Louis Pd East St Louis,1984,Illinois,0,IL08227,6,2,4,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Comm College East St Louis Pd East St Louis,1985,Illinois,0,IL08227,6,2,4,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Comm College East St Louis Pd East St Louis,1986,Illinois,0,IL08227,5,2,3,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Comm College East St Louis Pd East St Louis,1987,Illinois,0,IL08227,5,2,3,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Comm College East St Louis Pd East St Louis,1988,Illinois,0,IL08227,5,2,3,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Comm College East St Louis Pd East St Louis,1989,Illinois,0,IL08227,5,2,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Comm College East St Louis Pd East St Louis,1990,Illinois,0,IL08227,5,2,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Comm College East St Louis Pd East St Louis,1991,Illinois,0,IL08227,5,2,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Comm College East St Louis Pd East St Louis,1992,Illinois,0,IL08227,4,1,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Comm College East St Louis Pd East St Louis,1993,Illinois,0,IL08227,4,1,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Comm College East St Louis Pd East St Louis,1994,Illinois,0,IL08227,2,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Comm College East St Louis Pd East St Louis,1995,Illinois,0,IL08227,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Comm College East St Louis Pd East St Louis,1996,Illinois,0,IL08227,8,3,5,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Comm College East St Louis Pd East St Louis,1997,Illinois,0,IL08227,2,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Comm College East St Louis Pd East St Louis,1998,Illinois,0,IL08227,2,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Comm College East St Louis Pd East St Louis,1999,Illinois,0,IL08227,2,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Comm College East St Louis Pd East St Louis,2000,Illinois,0,IL08227,3,0,3,9,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
