agency,year,state,population,ORI,total_officers,female_employees_officers,male_employees_officers,total_civilians,female_employees_civilians,male_employees_civilians,officers_killed_accident,officers_killed_felony,assault_injury_total,assault_injury_gun,assault_injury_knife,assault_injury_hand_feet,assault_injury_other,assault_no_injury_total,assault_no_injury_gun,assault_no_injury_knife,assault_no_injury_hand_feet,assault_no_injury_other,total_assault_total,total_assault_gun,total_assault_knife,total_assault_hand_feet,total_assault_other,all_oth_total_assault,ambush_total_assault,att_oth_arrest_total_assault,burglary_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,deranged_total_assault,disturbance_total_assault,robbery_total_assault,susp_pers_total_assault,traffic_total_assault
Ohioville Borough Police Department,1985,Pennsylvania,4189,PA00452,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohioville Borough Police Department,1986,Pennsylvania,4062,PA00452,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohioville Borough Police Department,1987,Pennsylvania,4006,PA00452,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohioville Borough Police Department,1988,Pennsylvania,3975,PA00452,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohioville Borough Police Department,1989,Pennsylvania,4003,PA00452,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohioville Borough Police Department,1990,Pennsylvania,3865,PA00452,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohioville Borough Police Department,1991,Pennsylvania,3890,PA00452,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohioville Borough Police Department,1992,Pennsylvania,3905,PA00452,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohioville Borough Police Department,1993,Pennsylvania,3895,PA00452,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohioville Borough Police Department,1994,Pennsylvania,3896,PA00452,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
