agency,year,state,population,ORI,total_officers,female_employees_officers,male_employees_officers,total_civilians,female_employees_civilians,male_employees_civilians,officers_killed_accident,officers_killed_felony,assault_injury_total,assault_injury_gun,assault_injury_knife,assault_injury_hand_feet,assault_injury_other,assault_no_injury_total,assault_no_injury_gun,assault_no_injury_knife,assault_no_injury_hand_feet,assault_no_injury_other,total_assault_total,total_assault_gun,total_assault_knife,total_assault_hand_feet,total_assault_other,all_oth_total_assault,ambush_total_assault,att_oth_arrest_total_assault,burglary_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,deranged_total_assault,disturbance_total_assault,robbery_total_assault,susp_pers_total_assault,traffic_total_assault
Ranson Police Department,2016,West Virginia,5053,WV01903,12,1,11,1,1,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1
Ranson Police Department,2015,West Virginia,4940,WV01903,12,1,11,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Ranson Police Department,2013,West Virginia,4684,WV01903,13,2,11,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranson Police Department,2012,West Virginia,4512,WV01903,13,2,11,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranson Police Department,2011,West Virginia,4446,WV01903,13,2,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ranson Police Department,2010,West Virginia,4440,WV01903,13,2,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ranson Police Department,2009,West Virginia,4838,WV01903,13,2,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ranson Police Department,2007,West Virginia,4067,WV01903,15,2,13,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranson Police Department,2006,West Virginia,3796,WV01903,13,2,11,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranson Police Department,2005,West Virginia,3435,WV01903,11,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
