agency,year,state,population,ORI,total_officers,female_employees_officers,male_employees_officers,total_civilians,female_employees_civilians,male_employees_civilians,officers_killed_accident,officers_killed_felony,assault_injury_total,assault_injury_gun,assault_injury_knife,assault_injury_hand_feet,assault_injury_other,assault_no_injury_total,assault_no_injury_gun,assault_no_injury_knife,assault_no_injury_hand_feet,assault_no_injury_other,total_assault_total,total_assault_gun,total_assault_knife,total_assault_hand_feet,total_assault_other,all_oth_total_assault,ambush_total_assault,att_oth_arrest_total_assault,burglary_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,deranged_total_assault,disturbance_total_assault,robbery_total_assault,susp_pers_total_assault,traffic_total_assault
Sp: Penobscot County,1975,Maine,0,ME010SP,0,0,0,0,0,0,0,0,2,0,0,2,0,6,0,0,6,0,8,0,0,8,0,0,0,3,0,0,0,0,1,0,1,3
Sp: Penobscot County,1976,Maine,0,ME010SP,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,3,0,0,2,1,0,0,1,0,0,1,0,1,0,0,0
Sp: Penobscot County,1977,Maine,0,ME010SP,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Sp: Penobscot County,1978,Maine,0,ME010SP,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,4,0,1,3,0,1,0,1,0,0,0,0,0,0,1,1
Sp: Penobscot County,1979,Maine,0,ME010SP,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,4,1,0,3,0,0,0,1,0,0,0,0,2,0,0,1
Sp: Penobscot County,1980,Maine,0,ME010SP,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
Sp: Penobscot County,1981,Maine,0,ME010SP,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
Sp: Penobscot County,1982,Maine,0,ME010SP,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Sp: Penobscot County,1983,Maine,0,ME010SP,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,2,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
Sp: Penobscot County,1984,Maine,0,ME010SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Penobscot County,1985,Maine,0,ME010SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Penobscot County,1986,Maine,0,ME010SP,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0,1,0,4,0,0,4,0,0,0,2,0,0,0,0,1,0,0,1
Sp: Penobscot County,1987,Maine,0,ME010SP,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,1,0,3,0,0,2,1,0,0,0,0,0,0,0,2,0,0,1
Sp: Penobscot County,1988,Maine,0,ME010SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Penobscot County,1989,Maine,0,ME010SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Penobscot County,1990,Maine,0,ME010SP,0,0,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Penobscot County,1991,Maine,0,ME010SP,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Sp: Penobscot County,1992,Maine,0,ME010SP,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Sp: Penobscot County,1993,Maine,0,ME010SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
