agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total,actual_arson_single_occupancy,actual_arson_other_residential,actual_arson_storage,actual_arson_industrial,actual_arson_other_commercial,actual_arson_community_public,actual_arson_all_oth_structures,actual_arson_total_structures,actual_arson_motor_vehicles,actual_arson_other_mobile,actual_arson_total_mobile,actual_arson_all_other,actual_arson_grand_total,tot_clr_arson_single_occupancy,tot_clr_arson_other_residential,tot_clr_arson_storage,tot_clr_arson_industrial,tot_clr_arson_other_commercial,tot_clr_arson_community_public,tot_clr_arson_all_oth_structures,tot_clr_arson_total_structures,tot_clr_arson_motor_vehicles,tot_clr_arson_other_mobile,tot_clr_arson_total_mobile,tot_clr_arson_all_other,tot_clr_arson_grand_total,clr_18_arson_single_occupancy,clr_18_arson_other_residential,clr_18_arson_storage,clr_18_arson_industrial,clr_18_arson_other_commercial,clr_18_arson_community_public,clr_18_arson_all_oth_structures,clr_18_arson_total_structures,clr_18_arson_motor_vehicles,clr_18_arson_other_mobile,clr_18_arson_total_mobile,clr_18_arson_all_other,clr_18_arson_grand_total,unfound_arson_single_occupancy,unfound_arson_other_residential,unfound_arson_storage,unfound_arson_industrial,unfound_arson_other_commercial,unfound_arson_community_public,unfound_arson_all_oth_structures,unfound_arson_total_structures,unfound_arson_motor_vehicles,unfound_arson_other_mobile,unfound_arson_total_mobile,unfound_arson_all_other,unfound_arson_grand_total
dekalb county schools dept. of public safety,2016-12-01,georgia,0,GA04451,0,0,0,0,0,0,0,0,1,0,0,0,1,71,0,1,0,0,70,3,2,1,0,43,5,5,0,0,124,1,2,52,54,0,0,2,2,0,0,0,0,0,0,50,0,1,0,0,49,0,0,0,0,13,1,1,0,0,67,1,3,15,18,0,0,1,1,0,0,0,0,0,0,41,0,0,0,0,41,0,0,0,0,6,0,0,0,0,49,0,1,7,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dekalb county schools dept. of public safety,2016-11-01,georgia,0,GA04451,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,2,3,1,86,5,3,2,0,40,4,4,0,0,143,6,6,51,57,0,0,1,1,0,2,0,0,0,2,54,0,4,0,1,49,1,1,0,0,13,0,0,0,0,72,5,8,15,23,0,0,1,1,0,0,0,0,0,0,30,0,2,0,1,27,1,1,0,0,9,0,0,0,0,42,3,4,11,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dekalb county schools dept. of public safety,2016-10-01,georgia,0,GA04451,0,0,0,0,0,1,1,0,4,1,0,2,1,99,0,0,5,0,94,8,7,1,0,39,2,2,0,0,153,5,10,49,59,0,0,0,0,0,2,0,0,0,2,66,0,0,0,0,66,2,2,0,0,8,1,1,0,0,79,0,2,11,13,0,0,0,0,0,2,0,0,0,2,45,0,0,0,0,45,1,1,0,0,5,0,0,0,0,53,0,2,6,8,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,1,0,0,0,0,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dekalb county schools dept. of public safety,2016-09-01,georgia,0,GA04451,0,0,0,0,0,0,0,0,7,0,1,1,5,99,0,3,1,0,95,5,3,2,0,52,0,0,0,0,164,4,11,58,69,0,0,0,0,0,4,0,0,0,4,3,1,2,0,0,0,3,2,1,0,7,0,0,0,0,17,3,7,10,17,0,0,0,0,0,2,0,0,0,2,2,1,1,0,0,0,1,0,1,0,4,0,0,0,0,9,2,4,5,9,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dekalb county schools dept. of public safety,2016-08-01,georgia,0,GA04451,0,0,0,0,0,1,1,0,5,0,0,0,5,54,1,1,1,0,51,4,4,0,0,30,0,0,0,0,94,3,9,34,43,0,0,0,0,0,2,0,0,0,2,28,0,0,0,0,28,2,2,0,0,4,0,0,0,0,36,0,2,6,8,0,0,0,0,0,2,0,0,0,2,13,0,0,0,0,13,1,1,0,0,3,0,0,0,0,19,0,2,4,6,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,4,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dekalb county schools dept. of public safety,2016-07-01,georgia,0,GA04451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5,0,0,0,0,8,0,0,8,8,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,6,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dekalb county schools dept. of public safety,2016-06-01,georgia,0,GA04451,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,7,4,3,0,10,2,2,0,0,22,1,1,19,20,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3,4,2,2,0,4,0,0,0,0,12,1,1,8,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,0,0,1,0,0,0,0,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dekalb county schools dept. of public safety,2016-05-01,georgia,0,GA04451,0,0,0,0,0,5,5,0,2,0,0,0,2,110,1,0,1,2,106,8,4,4,0,38,1,1,0,0,164,4,11,47,58,0,0,0,0,0,0,0,0,0,0,63,0,1,0,1,61,2,2,0,0,8,0,0,0,0,73,2,2,10,12,0,0,0,0,0,0,0,0,0,0,44,0,1,0,0,43,0,0,0,0,6,0,0,0,0,50,1,1,6,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,1,0,0,0,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dekalb county schools dept. of public safety,2016-04-01,georgia,0,GA04451,0,0,0,0,0,0,0,0,2,0,0,1,1,74,0,0,0,0,74,4,2,2,0,37,1,1,0,0,118,0,2,42,44,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,56,1,0,1,0,13,0,0,0,0,70,0,0,14,14,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,38,1,0,1,0,8,0,0,0,0,47,0,0,9,9,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,6,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dekalb county schools dept. of public safety,2016-03-01,georgia,0,GA04451,0,0,0,0,0,0,0,0,1,0,0,0,1,129,0,1,2,0,126,7,3,4,0,41,2,2,0,0,181,3,4,51,55,0,0,0,0,0,1,0,0,0,1,94,0,2,0,0,92,1,0,1,0,3,0,0,0,0,99,2,3,4,7,0,0,0,0,0,0,0,0,0,0,61,0,1,0,0,60,1,0,1,0,1,0,0,0,0,63,1,1,2,3,0,0,0,0,0,1,1,0,0,0,16,1,0,2,0,13,0,0,0,0,0,0,0,0,0,17,3,4,0,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
