agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
Sp: Huntingdon County,2018-12-01,Pennsylvania,36056,PA031SP,0,0,0,0,0,3,3,0,0,0,0,0,0,25,1,0,1,0,23,8,4,4,0,19,0,0,0,0,55,2,5,27,32,0,0,3,3,0,0,0,0,0,0,26,0,0,0,3,23,1,0,1,0,10,0,0,0,0,40,3,6,11,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1
Sp: Huntingdon County,2018-11-01,Pennsylvania,36056,PA031SP,0,0,0,0,0,2,2,0,0,0,0,0,0,19,0,2,0,0,17,9,7,2,0,13,0,0,0,0,43,2,4,22,26,0,0,2,2,0,0,0,0,0,0,19,0,2,0,0,17,2,2,0,0,6,0,0,0,0,29,2,4,8,12,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,2,2,0,0,0,0,0,0,0,5,2,2,2,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1
Sp: Huntingdon County,2018-10-01,Pennsylvania,36056,PA031SP,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,1,0,4,1,3,0,14,0,0,0,0,21,1,3,18,21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,2,18,0,10,0,0,0,0,31,0,1,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,1,0,0,0,0,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Huntingdon County,2018-09-01,Pennsylvania,36056,PA031SP,0,0,0,0,0,3,3,0,0,0,0,0,0,23,0,0,1,2,20,4,3,1,0,15,1,1,0,0,46,3,6,20,26,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,15,1,0,1,0,7,1,1,0,0,25,1,1,9,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,8,0,0,4,4
Sp: Huntingdon County,2018-08-01,Pennsylvania,36056,PA031SP,0,0,0,0,0,6,6,0,0,0,0,0,0,22,0,0,0,1,21,8,3,5,0,27,0,0,0,0,63,1,7,35,42,0,0,1,1,0,0,0,0,0,0,25,0,0,0,0,25,3,3,0,0,10,0,0,0,0,39,0,1,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Sp: Huntingdon County,2018-07-01,Pennsylvania,36056,PA031SP,0,0,0,0,0,3,2,1,3,0,0,0,3,26,0,0,0,5,21,6,0,6,0,28,2,1,1,0,68,5,11,36,47,0,0,2,1,1,3,0,0,0,3,24,0,0,0,2,22,6,0,6,0,6,0,0,0,0,41,2,7,12,19,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,5,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,8,0,5,1,6
Sp: Huntingdon County,2018-06-01,Pennsylvania,36056,PA031SP,0,0,0,0,0,7,7,0,0,0,0,0,0,8,0,0,0,1,7,4,4,0,0,18,3,3,0,0,40,1,8,25,33,0,0,6,6,0,0,0,0,0,0,7,0,0,0,1,6,1,1,0,0,3,0,0,0,0,17,1,7,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,3
Sp: Huntingdon County,2018-05-01,Pennsylvania,36056,PA031SP,0,0,0,2,0,9,9,0,0,0,0,0,0,38,0,1,1,3,33,16,9,6,1,25,1,1,0,0,91,5,16,42,58,2,0,0,0,0,0,0,0,0,0,30,0,0,2,3,25,7,1,6,0,5,0,0,0,0,44,5,7,12,19,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,1,0,0,1,0,0,0,0,5,0,0,2,2
Sp: Huntingdon County,2018-04-01,Pennsylvania,36056,PA031SP,0,0,0,0,0,3,3,0,1,0,0,0,1,20,0,0,0,4,16,7,5,2,0,12,1,0,1,0,44,4,8,20,28,0,0,1,1,0,0,0,0,0,0,17,0,0,0,3,14,12,12,0,0,4,0,0,0,0,34,3,4,16,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,1,1,2
Sp: Huntingdon County,2018-03-01,Pennsylvania,36056,PA031SP,0,0,0,1,0,2,2,0,0,0,0,0,0,30,0,0,0,1,29,6,4,1,1,19,0,0,0,0,58,1,4,25,29,1,0,2,2,0,0,0,0,0,0,34,0,0,0,1,33,12,10,2,0,6,0,0,0,0,55,1,4,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,0,0,0,8,2,0,2,0,2,1,1,0,0,14,0,1,5,6
