agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,theft_tot_arrests,theft_tot_adult,theft_tot_juv,theft_tot_male,theft_tot_female,theft_tot_male_adult,theft_tot_male_juv,theft_tot_female_adult,theft_tot_female_juv,theft_male_under_10,theft_male_10_12,theft_male_13_14,theft_male_15,theft_male_16,theft_male_17,theft_male_18,theft_male_19,theft_male_20,theft_male_21,theft_male_22,theft_male_23,theft_male_24,theft_male_25_29,theft_male_30_34,theft_male_35_39,theft_male_40_44,theft_male_45_49,theft_male_50_54,theft_male_55_59,theft_male_60_64,theft_male_over_64,theft_female_under_10,theft_female_10_12,theft_female_13_14,theft_female_15,theft_female_16,theft_female_17,theft_female_18,theft_female_19,theft_female_20,theft_female_21,theft_female_22,theft_female_23,theft_female_24,theft_female_25_29,theft_female_30_34,theft_female_35_39,theft_female_40_44,theft_female_45_49,theft_female_50_54,theft_female_55_59,theft_female_60_64,theft_female_over_64,theft_adult_white,theft_adult_black,theft_adult_asian,theft_adult_indian,theft_juv_white,theft_juv_black,theft_juv_asian,theft_juv_indian,mtr_veh_theft_tot_arrests,mtr_veh_theft_tot_adult,mtr_veh_theft_tot_juv,mtr_veh_theft_tot_male,mtr_veh_theft_tot_female,mtr_veh_theft_tot_male_adult,mtr_veh_theft_tot_male_juv,mtr_veh_theft_tot_female_adult,mtr_veh_theft_tot_female_juv,mtr_veh_theft_male_under_10,mtr_veh_theft_male_10_12,mtr_veh_theft_male_13_14,mtr_veh_theft_male_15,mtr_veh_theft_male_16,mtr_veh_theft_male_17,mtr_veh_theft_male_18,mtr_veh_theft_male_19,mtr_veh_theft_male_20,mtr_veh_theft_male_21,mtr_veh_theft_male_22,mtr_veh_theft_male_23,mtr_veh_theft_male_24,mtr_veh_theft_male_25_29,mtr_veh_theft_male_30_34,mtr_veh_theft_male_35_39,mtr_veh_theft_male_40_44,mtr_veh_theft_male_45_49,mtr_veh_theft_male_50_54,mtr_veh_theft_male_55_59,mtr_veh_theft_male_60_64,mtr_veh_theft_male_over_64,mtr_veh_theft_female_under_10,mtr_veh_theft_female_10_12,mtr_veh_theft_female_13_14,mtr_veh_theft_female_15,mtr_veh_theft_female_16,mtr_veh_theft_female_17,mtr_veh_theft_female_18,mtr_veh_theft_female_19,mtr_veh_theft_female_20,mtr_veh_theft_female_21,mtr_veh_theft_female_22,mtr_veh_theft_female_23,mtr_veh_theft_female_24,mtr_veh_theft_female_25_29,mtr_veh_theft_female_30_34,mtr_veh_theft_female_35_39,mtr_veh_theft_female_40_44,mtr_veh_theft_female_45_49,mtr_veh_theft_female_50_54,mtr_veh_theft_female_55_59,mtr_veh_theft_female_60_64,mtr_veh_theft_female_over_64,mtr_veh_theft_adult_white,mtr_veh_theft_adult_black,mtr_veh_theft_adult_asian,mtr_veh_theft_adult_indian,mtr_veh_theft_juv_white,mtr_veh_theft_juv_black,mtr_veh_theft_juv_asian,mtr_veh_theft_juv_indian
Churchill,1980,Nevada,NV,9638,NV00100,NV0010000,32,001,32001,14,11,3,12,2,9,3,2,3,0,0,0,0,1,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,16,13,3,16,0,13,3,0,3,0,0,1,1,0,1,4,1,1,1,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0
Fallon,1980,Nevada,NV,4235,NV00101,NV0010100,32,001,32001,44,25,19,22,22,14,8,11,8,0,1,1,3,2,1,0,1,2,1,0,2,0,2,0,2,0,3,0,0,0,1,0,0,4,2,4,1,1,0,0,1,1,0,0,3,1,0,0,2,1,1,0,0,14,2,0,9,16,0,0,3,9,6,3,5,4,4,1,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,2
Las Vegas Metro Juris,1980,Nevada,NV,385396,NV00201,NV0020100,32,003,32003,3408,2421,987,2035,1373,1374,637,1047,637,24,84,180,110,143,120,127,116,101,83,62,68,55,248,144,98,73,60,43,31,26,39,8,49,66,60,78,65,62,60,66,68,74,61,52,225,102,70,52,26,56,33,18,22,1635,745,28,13,778,199,8,2,344,230,114,307,37,207,100,23,100,0,3,20,21,31,25,27,24,17,22,12,10,12,45,18,12,3,2,1,2,0,0,0,0,3,3,3,5,1,6,3,2,2,1,1,5,1,1,0,0,0,0,0,0,160,68,0,2,96,17,0,1
North Las Vegas,1980,Nevada,NV,42757,NV00202,NV0020200,32,003,32003,328,140,188,260,68,110,142,30,142,8,39,41,21,27,14,17,13,14,6,6,4,7,14,13,3,4,3,2,1,0,3,2,5,14,6,6,5,4,1,1,2,0,5,3,3,2,3,3,1,0,1,1,0,62,73,2,1,87,99,1,1,32,18,14,28,4,15,13,3,13,0,0,5,4,3,1,1,2,2,0,0,0,1,2,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,8,10,0,0,6,8,0,0
Henderson,1980,Nevada,NV,24438,NV00203,NV0020300,32,003,32003,169,88,81,135,34,72,60,16,60,3,11,17,16,15,1,7,6,8,3,6,6,3,12,4,7,1,1,1,2,3,2,1,3,8,3,3,0,0,0,0,2,0,0,1,1,1,2,1,2,2,2,0,2,82,4,2,0,70,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boulder City,1980,Nevada,NV,9627,NV00204,NV0020400,32,003,32003,14,7,7,14,0,7,7,0,7,0,0,2,1,3,1,2,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,9,5,4,7,2,3,4,2,4,0,0,0,1,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0
Douglas,1980,Nevada,NV,19500,NV00300,NV0030000,32,005,32005,94,73,21,80,14,65,14,8,14,1,1,0,3,5,5,9,6,6,7,7,2,3,13,4,4,2,0,1,0,0,1,0,1,4,0,0,1,2,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,67,2,0,4,16,0,1,4,15,11,4,14,1,10,4,1,4,0,0,1,3,0,0,1,2,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,1,4,0,0,0
Elko,1980,Nevada,NV,6128,NV00400,NV0040000,32,007,32007,11,10,1,11,0,10,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,1,0,0,0,10,5,5,8,2,3,5,2,5,0,0,1,1,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,5,0,0,0
Elko,1980,Nevada,NV,8843,NV00401,NV0040100,32,007,32007,119,92,27,99,20,81,15,11,15,3,3,4,2,5,1,2,2,0,1,5,2,1,8,12,8,12,11,11,3,2,1,0,1,0,2,5,1,0,0,0,1,1,1,0,1,2,0,0,1,2,0,2,0,80,2,1,9,23,0,2,2,9,2,7,9,0,2,7,0,7,0,2,1,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,1
Carlin,1980,Nevada,NV,1216,NV00402,NV0040200,32,007,32007,5,1,4,2,3,0,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
